Nome, Solucao, #Rotas, clocks, clocks_melhor_sol
mgval_0.30_5B, 490.0, 4, 90881140, 15181533
mgval_0.30_5C, 553.0, 5, 77006547, 4118610
mgval_0.30_5D, 619.0, 9, 117560912, 56891081
mgval_0.30_6A, 252.0, 3, 45836716, 622086
mgval_0.30_6B, 262.0, 5, 48480860, 2056058
mgval_0.30_6C, 317.0, 10, 51100760, 14357740
mgval_0.30_7A, 324.0, 4, 42414430, 165488
mgval_0.30_7B, 344.0, 5, 63034440, 847706
mgval_0.30_7C, 354.0, 10, 46685902, 802665
mgval_0.30_8A, 431.0, 3, 79851722, 1311177
mgval_0.30_8B, 400.0, 4, 73818902, 2611163
mgval_0.30_8C, 522.0, 9, 50469656, 1394964
mgval_0.30_9A, 357.0, 4, 83690791, 2448375
mgval_0.30_9B, 348.0, 4, 95755993, 4324076
mgval_0.30_9C, 335.0, 5, 110501207, 9299585
mgval_0.30_9D, 429.0, 10, 219002797, 131842047
mgval_0.30_10A, 484.0, 3, 200092799, 74019642
mgval_0.30_10B, 441.0, 4, 129578549, 4050649
mgval_0.30_10C, 475.0, 5, 145444494, 21235206
mgval_0.30_10D, 539.0, 10, 97248470, 7360513
mgval_0.35_1A, 158.0, 3, 22965263, 8447
mgval_0.35_1B, 192.0, 3, 29508088, 455394
mgval_0.35_1C, 282.0, 9, 27745402, 108775
mgval_0.35_2A, 286.0, 2, 22333129, 233036
mgval_0.35_2B, 326.0, 3, 36335305, 671132
mgval_0.35_2C, 485.0, 8, 26645678, 1854756
mgval_0.35_3A, 84.0, 2, 31280906, 578835
mgval_0.35_3B, 113.0, 3, 31479277, 37682
mgval_0.35_3C, 150.0, 7, 22188190, 128428
mgval_0.35_4A, 430.0, 3, 85012229, 527259
mgval_0.35_4B, 531.0, 4, 84314684, 2568187
mgval_0.35_4C, 516.0, 5, 90269112, 8900010
mgval_0.35_4D, 643.0, 9, 76748023, 8741664
mgval_0.35_5A, 455.0, 3, 84064127, 2580785
mgval_0.35_5B, 468.0, 4, 99609202, 28409056
mgval_0.35_5C, 586.0, 5, 96655099, 27367589
mgval_0.35_5D, 576.0, 9, 90138273, 38411892
mgval_0.35_6A, 248.0, 3, 48989224, 280613
mgval_0.35_6B, 250.0, 4, 44375768, 387896
mgval_0.35_6C, 312.0, 10, 32681392, 1082412
mgval_0.35_7A, 264.0, 4, 38315057, 301434
mgval_0.35_7B, 325.0, 4, 61059521, 827551
mgval_0.35_7C, 336.0, 9, 52645225, 3669755
mgval_0.35_8A, 415.0, 3, 64075959, 2804674
mgval_0.35_8B, 385.0, 4, 70045416, 1026549
mgval_0.35_8C, 489.0, 9, 54112450, 6076507
mgval_0.35_9A, 324.0, 3, 81822805, 1846972
mgval_0.35_9B, 331.0, 4, 101617993, 4318782
mgval_0.35_9C, 328.0, 5, 135152280, 29895494
mgval_0.35_9D, 430.0, 10, 112184875, 29770624
mgval_0.35_10A, 475.0, 3, 142409698, 8975417
mgval_0.35_10B, 461.0, 4, 120982236, 3313848
mgval_0.35_10C, 430.0, 5, 119129147, 3656413
mgval_0.35_10D, 523.0, 10, 117529628, 30358259
mgval_0.40_1A, 165.0, 3, 21293233, 125708
mgval_0.40_1B, 196.0, 4, 31271535, 60255
mgval_0.40_1C, 267.0, 9, 27069116, 1065955
mgval_0.40_2A, 222.0, 2, 31901904, 60276
mgval_0.40_2B, 311.0, 3, 38293503, 209215
mgval_0.40_2C, 469.0, 8, 26151626, 327068
mgval_0.40_3A, 86.0, 2, 26083176, 83563
mgval_0.40_3B, 110.0, 3, 28182726, 598996
mgval_0.40_3C, 148.0, 7, 21071313, 495034
mgval_0.40_4A, 400.0, 3, 89042709, 2798926
mgval_0.40_4B, 423.0, 4, 81106912, 806683
mgval_0.40_4C, 462.0, 5, 80404628, 2266252
mgval_0.40_4D, 620.0, 9, 199595582, 140697700
mgval_0.40_5A, 426.0, 3, 73590678, 2505000
mgval_0.40_5B, 424.0, 4, 69089633, 1424379
mgval_0.40_5C, 524.0, 5, 185953612, 115074255
mgval_0.40_5D, 602.0, 9, 74878651, 21742240
mgval_0.40_6A, 224.0, 3, 40289401, 1024336
mgval_0.40_6B, 211.0, 4, 39475263, 217253
mgval_0.40_6C, 312.0, 10, 34882474, 466749
mgval_0.40_7A, 271.0, 4, 34934447, 484835
mgval_0.40_7B, 270.0, 5, 53679708, 711338
mgval_0.40_7C, 330.0, 9, 81799513, 33928615
mgval_0.40_8A, 393.0, 3, 73560341, 1934473
mgval_0.40_8B, 371.0, 4, 70916527, 2627165
mgval_0.40_8C, 517.0, 9, 54264941, 7215292
mgval_0.40_9A, 341.0, 3, 76934682, 3304398
mgval_0.40_9B, 327.0, 4, 100959164, 2807480
mgval_0.40_9C, 295.0, 5, 92950869, 7473436
mgval_0.40_9D, 382.0, 10, 143228477, 65794027
mgval_0.40_10A, 406.0, 3, 129089388, 4172927
mgval_0.40_10B, 433.0, 4, 116946311, 3288254
mgval_0.40_10C, 432.0, 5, 211392010, 105284076
mgval_0.40_10D, 482.0, 10, 149509478, 66115068
mgval_0.45_1A, 168.0, 3, 21589041, 148816
mgval_0.45_1B, 166.0, 3, 30460418, 852265
mgval_0.45_1C, 258.0, 8, 25473642, 1396060
mgval_0.45_2A, 251.0, 2, 25598502, 7217
mgval_0.45_2B, 314.0, 3, 36193726, 698252
